Date,Copepod ID,Prey type,Time start,Prey offered,Time ended,Prey remaining,Notes,Dead
9/13/2023,2,8,11:23,40,11:53,6,,0
9/12/2023,3,8,9:42,40,10:12,21,,0
9/18/2023,22,8,11:52,40,12:21,23,,0
9/11/2023,C10,8,12:54,40,13:24,23,,0
9/15/2023,C16,8,11:50,40,12:20,13,,0
9/13/2023,7,10,11:17,40,11:47,21,,0
9/11/2023,12,10,12:48,40,13:19,18,,0
9/18/2023,C15,10,11:39,40,12:10,12,,0
9/15/2023,27,10,11:58,40,12:28,31,,0
9/12/2023,C6,10,9:43,40,10:13,11,,0
9/13/2023,3,16,10:27,40,10:57,24,,0
9/19/2023,15,16,10:14,40,10:44,16,,0
9/11/2023,28,16,10:11,40,10:41,12,,0
9/15/2023,C15,16,10:28,40,10:59,11,,0
9/21/2023,C1,16,9:49,40,10:20,3,,0
9/12/2023,28,17,9:11,40,9:41,22,,0
9/11/2023,C25,17,13:05,40,13:35,7,,0
9/19/2023,C3,17,9:12,40,9:42,4,,0
9/15/2023,Q1,17,10:58,40,11:28,0,,0
9/20/2023,Q4,17,11:38,40,12:08,2,,0
9/20/2023,5,17,12:16,40,12:47,1,,0
9/15/2023,19,19,10:41,40,11:11,17,,0
9/12/2023,81,19,11:29,40,11:59,4,,0
9/11/2023,C12,19,11:29,40,11:59,8,,0
9/19/2023,Q2,19,11:54,40,12:24,11,,0
9/21/2023,C9,19,8:57,40,9:27,33,,0
9/21/2023,6,19,8:59,40,9:29,17,,0
9/19/2023,16,20,12:08,40,12:38,23,,0
9/15/2023,C12,20,11:23,40,11:53,11,,0
9/12/2023,C18,20,11:21,40,11:51,17,,0
9/18/2023,C23,20,12:40,40,13:10,21,,0
9/11/2023,C7,20,11:34,40,12:04,16,,0
9/19/2023,4,22,10:05,40,10:35,21,,0
9/13/2023,11,22,10:22,40,10:52,10,,0
9/15/2023,29,22,10:19,40,10:49,4,,0
9/11/2023,C8,22,10:04,40,10:34,2,,0
9/20/2023,12,22,12:39,40,13:09,14,,0
9/21/2023,C10,22,9:36,40,10:06,24,,0
9/11/2023,4,26,12:11,40,12:41,12,,0
9/12/2023,C13,26,10:54,40,11:24,18,,0
9/18/2023,C25,26,9:54,40,10:24,8,,0
9/14/2023,C3,26,10:36,40,11:06,9,,0
9/20/2023,C1,26,11:02,40,11:32,13,,0
9/11/2023,6,30,10:40,40,11:10,16,,0
9/13/2023,20,30,10:47,40,11:17,6,,0
9/18/2023,21,30,11:47,40,12:18,16,,0
9/21/2023,C17,30,10:06,40,10:36,20,,0
9/21/2023,29,30,10:10,40,10:40,22,,0
9/11/2023,15,32,11:50,40,12:20,8,,0
9/14/2023,19,32,11:08,40,11:38,14,,0
9/19/2023,21,32,11:11,40,11:41,18,,0
9/12/2023,C23,32,11:05,40,11:35,23,,0
9/21/2023,4,32,9:14,40,9:44,12,,0
9/11/2023,8,33,12:19,40,12:49,25,,0
9/12/2023,12,33,10:43,40,11:13,13,,0
9/14/2023,30,33,10:19,40,10:49,16,,0
9/18/2023,C12,33,10:05,40,10:35,15,,0
9/20/2023,C13,33,11:19,40,11:49,8,,0
9/18/2023,1,34,12:05,40,12:35,19,,0
9/11/2023,3,34,10:51,40,11:21,17,,0
9/19/2023,11,34,10:59,40,11:29,15,,0
9/18/2023,C19,34,12:03,40,12:33,20,,0
9/21/2023,2,34,9:46,40,10:16,14,,0
9/21/2023,13,34,10:38,40,11:08,27,,0
9/21/2023,Q5,34,10:43,40,11:14,15,,0
9/14/2023,4,35,10:28,40,10:58,17,,0
9/18/2023,28,35,12:22,40,12:53,24,,0
9/13/2023,81,35,10:55,40,11:25,31,,0
9/15/2023,C3,35,9:53,40,10:23,17,,0
9/20/2023,Q2,35,11:14,40,11:44,24,,0
9/13/2023,17,36,10:11,40,10:41,10,,0
9/11/2023,29,36,9:34,40,10:04,13,,0
9/15/2023,C13,36,9:37,40,10:09,12,,0
9/19/2023,Q1,36,9:32,40,10:02,7,,0
9/20/2023,Q6,36,11:51,40,12:21,20,,0
9/12/2023,4,38,10:20,40,10:50,16,,0
9/18/2023,14,38,11:02,40,11:32,21,,0
9/13/2023,C11,38,11:03,40,11:33,30,,0
9/11/2023,C24,38,12:35,40,13:05,9,,0
9/20/2023,C20,38,12:30,40,13:00,28,,0
9/15/2023,2,41,10:27,40,10:57,20,,0
9/11/2023,9,41,13:14,40,13:44,26,,0
9/12/2023,C19,41,8:53,40,9:23,19,,0
9/19/2023,C20,41,9:34,40,10:04,16,,0
9/18/2023,Q4,41,12:44,40,13:15,13,,0
9/20/2023,30,41,12:23,40,12:53,16,,0
9/19/2023,2,44,9:09,40,9:39,16,,0
9/15/2023,9,44,11:06,40,11:36,15,,0
9/11/2023,C22,44,13:10,40,13:40,22,,0
9/12/2023,C8,44,9:03,40,9:33,23,,0
9/20/2023,17,44,11:26,40,11:56,20,,0
9/19/2023,12,45,10:34,40,11:04,19,,0
9/11/2023,14,45,10:28,40,10:58,24,14 done instead of C14,0
9/13/2023,21,45,10:40,40,11:11,6,,0
9/15/2023,Q4,45,11:34,40,12:04,13,,0
9/21/2023,Q9,45,10:24,40,10:55,10,,0
9/14/2023,2,46,10:52,40,11:22,22,,0
9/12/2023,13,46,10:55,40,11:25,33,,0
9/18/2023,23,46,10:23,40,10:53,26,,0
9/11/2023,C23,46,11:58,40,12:28,17,,0
9/20/2023,C18,46,10:55,40,11:25,9,,0
9/18/2023,9,50,11:18,40,11:48,33,,0
9/11/2023,11,50,12:37,40,13:07,27,,0
9/13/2023,19,50,11:10,40,11:40,15,,0
9/12/2023,C7,50,10:02,40,10:32,34,,0
9/20/2023,C24,50,11:56,40,12:26,23,,0
9/11/2023,27,62,12:13,40,12:47,26,,0
9/18/2023,C14,62,10:46,40,11:16,12,,0
9/14/2023,C15,62,9:55,40,10:25,30,,0
9/12/2023,C9,62,10:31,40,11:01,21,,0
9/20/2023,4,62,12:38,40,13:08,0,,0
9/11/2023,16,65,10:18,40,10:48,17,,0
9/15/2023,C24,65,10:37,40,11:07,15,,0
9/19/2023,C5,65,10:19,40,10:49,11,,0
9/13/2023,C6,65,10:31,40,11:01,8,,0
9/21/2023,C13,65,10:00,40,10:30,9,,0
9/18/2023,11,66,12:09,40,12:39,5,,0
9/12/2023,22,66,11:58,40,12:28,22,,0
9/11/2023,C6,66,10:57,40,11:27,10,,0
9/19/2023,Q6,66,11:20,40,11:50,19,,0
9/21/2023,30,66,9:35,40,10:05,19,,0
9/18/2023,16,69,12:38,40,13:09,20,,0
9/18/2023,17,69,12:36,40,13:06,11,,0
9/15/2023,25,69,10:13,40,10:43,9,,0
9/15/2023,C11,69,10:16,40,10:46,13,,0
9/12/2023,6,70,9:36,40,10:06,13,,0
9/11/2023,10,70,12:49,40,13:20,12,,0
9/15/2023,26,70,11:41,40,12:11,14,,0
9/18/2023,81,70,12:00,40,12:30,13,,0
9/13/2023,C4,70,11:30,40,12:00,11,,0
